Ref,Qnty,Value,Art,Cmp name,Footprint,Description,Vendor
"C1, C3, C5, C7, C9, ",20,10nF,2253,C_Small,Capacitors_SMD:C_0805_HandSoldering,"Unpolarized capacitor, small symbol",
"C2, C4, C6, C8, C10, ",20,1uF 50V,15347,C_Small,Capacitors_SMD:C_0805_HandSoldering,"Unpolarized capacitor, small symbol",
"D1, D4, D7, D10, D13, ",20,BZX85_C12,31111,D_Zener_Small,Diodes_THT:D_DO-41_SOD81_P5.08mm_Vertical_AnodeUp,"Zener diode, small symbol",
"D3, D6, D9, D12, D15, ",20,UF4007,17804,D_Small,Diodes_THT:D_DO-41_SOD81_P5.08mm_Vertical_AnodeUp,"Diode, small symbol",
"D16, D2, D5, D8, D11, D14, ",20,green,4773,LED_Small,LEDs:LED_0805_HandSoldering,"Light emitting diode, small symbol",
"H1, H2, H3, ",3,Mech,,MountingHole,Mounting_Holes:MountingHole_3.2mm_M3,Mounting Hole without connection,
"J1, ",1,Power,,Screw_Terminal_01x02,TerminalBlocks_Phoenix:TerminalBlock_Phoenix_PT-3.5mm_2pol,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J2, ",1,In,,Conn_01x06,TerminalBlocks_Phoenix:TerminalBlock_Phoenix_MPT-2.54mm_6pol,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",
"J3, ",1,Out,,Conn_01x06,TerminalBlocks_Phoenix:TerminalBlock_Phoenix_MPT-2.54mm_6pol,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",
"Q1, Q2, Q3, Q4, Q5, ",5,IRF9Z24N,,IRF9540N,TO_SOT_Packages_THT:TO-220-3_Vertical,"-23A Id, -100V Vds, HEXFET P-Channel MOSFET, TO-220",
"R2, R1, R5, R4, R8, R7, R11, R10, R14, R13, ",100,10K,150145,R_Small,Resistors_SMD:R_0805_HandSoldering,"Resistor, small symbol",
"R3, R6, R9, R12, R15, ",100,5k1,3729,R_Small,Resistors_SMD:R_0805_HandSoldering,"Resistor, small symbol",
"R16, ",1,5K1,,R_Small,Resistors_SMD:R_0805_HandSoldering,"Resistor, small symbol",
